tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2008729306735014080',The @GOP don’t give a shit about you — or your kids.,en,Tweet,361,29891,5307,5227,1007762,2026-01-06 21:36:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2008674419804434505',"Donald Trump and Speaker Johnson will not promote free and fair elections.

Proof? January 6. https://t.co/s1SakaYCnr",en,Tweet,270,19047,4109,4560,408271,2026-01-06 17:57:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2008673900486610944/vid/avc1/1080x1080/5Tk3XfEVNw7W-Fxa.mp4?tag=21
'2012197001538978158',The forecast is just a suggestion when you have the right tires. Don't let the winter dictate your drive. Get the grip that makes you feel unstoppable at Town Fair Tire. ☃️ https://t.co/9fpCyh67bJ,en,Tweet,0,10,1,3,65915,2026-01-16 11:15:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2012196837944705024/vid/avc1/1920x1080/f8jJKAxIfYFOHl1B.mp4?tag=21
'2008576945060278616',"RT @undefined: Congressman Doug LaMalfa was a devoted public servant who deeply loved his country, his state, and the communities he represented. While we often approached issues from different perspectives, he fought every day for the people of California with conviction and care. He will be deeply missed.

Jennifer and I are holding Doug’s family, loved ones, and colleagues in our thoughts as California mourns his passing.",en,Retweet,54,2204,247,233,143772,2026-01-06 11:30:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G9_mFj3bcAMkCHZ.jpg
'2008409343172153473',"Louisiana ranking for best states: #50.

Dead last. Not good Mike.

California’s population has grown for the last 3 consecutive years.

Fix your own damn state. https://t.co/SZcTRymqE4",en,Tweet,329,29338,3772,3662,12259938,2026-01-06 00:24:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G99Np4IbcAQFuRD.jpg
'2008275812425007380',"Tim Walz is a man of character, strength, and compassion. He has served Minnesota with heart and dignity.

Minnesota -- and America -- is better off thanks to his lifelong public service. Wishing him all the best in this next chapter. Thank you, @Tim_Walz.",en,Tweet,786,40719,3901,31404,2841689,2026-01-05 15:34:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2007284165721678164',"RT @undefined: California just got military troops with weapons of war off of the streets of our cities, but now Republican activists on the Ninth Circuit want to replace them with gunslingers and return to the days of the Wild West. 

California's law was carefully crafted to comply with the Second Amendment and we're confident this decision will not stand.",en,Retweet,95,3240,536,850,352613,2026-01-02 21:53:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2007207815325405399',Millions of Americans just saw their health care premiums rise by an average of 114%.,en,Tweet,333,28209,3618,6063,1223724,2026-01-02 16:50:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2012196111675457773',"We’re excited to welcome Santiago Yee to LPA as Financial Analyst in Mexico!

He’ll support our growth through financial modeling, underwriting, and reporting across our logistics platform.

Welcome aboard, Santiago! https://t.co/gpvhxgMMzc",en,Tweet,30,136,9,13,1361008,2026-01-16 11:11:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G-zBsqMWAAAZbj8.jpg
'2006762153030856757',Happy new year from Donald Trump and Mike Johnson.,en,Tweet,172,14408,3624,2549,634565,2026-01-01 11:19:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
